Date,Price,Open,High,Low,Vol.,Change %
2020-01-31,0.2395,0.2438,0.2449,0.2343,62.48M,-0.0172
2020-02-01,0.2414,0.2396,0.2431,0.2372,32.49M,0.0079
2020-02-02,0.251,0.2414,0.2614,0.236,89.79M,0.0398
2020-02-03,0.2545,0.2506,0.2595,0.2472,70.51M,0.0139
2020-02-04,0.2673,0.2545,0.2709,0.2477,127.04M,0.0503
2020-02-05,0.2777,0.2675,0.2822,0.2675,138.82M,0.0389
2020-02-06,0.2835,0.2779,0.2879,0.2687,149.94M,0.0209
2020-02-07,0.2796,0.2834,0.2883,0.2778,91.16M,-0.0138
2020-02-08,0.2776,0.2796,0.282,0.2646,83.24M,-0.0072
2020-02-09,0.2825,0.2771,0.289,0.2766,73.04M,0.0177
2020-02-10,0.2734,0.2827,0.2832,0.2677,60.79M,-0.0322
2020-02-11,0.2809,0.2734,0.2833,0.2674,61.50M,0.0274
2020-02-12,0.3044,0.2813,0.3088,0.2811,152.15M,0.0837
2020-02-13,0.3272,0.3042,0.3404,0.3005,430.61M,0.0749
2020-02-14,0.3358,0.3274,0.3389,0.3118,221.47M,0.0263
2020-02-15,0.3075,0.3357,0.3464,0.2956,237.80M,-0.0843
2020-02-16,0.293,0.3072,0.3188,0.27,253.14M,-0.0472
2020-02-17,0.287,0.292,0.2948,0.269,210.38M,-0.0205
2020-02-18,0.2979,0.2874,0.3025,0.2763,141.09M,0.038
2020-02-19,0.2751,0.2983,0.3066,0.2709,157.33M,-0.0765
2020-02-20,0.2712,0.2746,0.2814,0.2619,140.68M,-0.0142
2020-02-21,0.2741,0.271,0.2787,0.2684,83.68M,0.0107
2020-02-22,0.2748,0.2742,0.2783,0.2702,49.07M,0.0026
2020-02-23,0.2832,0.2747,0.2846,0.2747,71.47M,0.0306
2020-02-24,0.2705,0.2832,0.2841,0.2642,100.66M,-0.0448
2020-02-25,0.2523,0.2704,0.2708,0.2514,104.07M,-0.0673
2020-02-26,0.2289,0.2522,0.255,0.2237,216.64M,-0.0927
2020-02-27,0.238,0.2291,0.2471,0.224,147.28M,0.0398
2020-02-28,0.2366,0.2388,0.2439,0.2287,116.80M,-0.0059
2020-02-29,0.2287,0.2365,0.2422,0.2287,61.05M,-0.0334
2020-03-01,0.2273,0.2289,0.2359,0.2244,61.70M,-0.0061
2020-03-02,0.2395,0.2267,0.2413,0.2259,75.76M,0.0537
2020-03-03,0.2342,0.2393,0.2394,0.2296,55.41M,-0.0221
2020-03-04,0.2346,0.2344,0.2383,0.2304,61.33M,0.0017
2020-03-05,0.2392,0.2346,0.2432,0.2346,44.56M,0.0196
2020-03-06,0.2446,0.239,0.2462,0.2382,51.45M,0.0226
2020-03-07,0.2363,0.2449,0.245,0.235,34.38M,-0.0339
2020-03-08,0.2039,0.2358,0.2358,0.2004,101.27M,-0.1371
2020-03-09,0.2097,0.204,0.2113,0.1983,79.63M,0.0284
2020-03-10,0.2117,0.2095,0.2156,0.2053,60.84M,0.0095
2020-03-11,0.2081,0.2118,0.2137,0.1996,59.71M,-0.017
2020-03-12,0.136,0.2082,0.2098,0.1291,421.61M,-0.3465
2020-03-13,0.1592,0.1354,0.1653,0.1055,738.16M,0.1706
2020-03-14,0.146,0.1594,0.1596,0.1437,89.20M,-0.0829
2020-03-15,0.1532,0.1461,0.1642,0.1447,76.57M,0.0493
2020-03-16,0.1408,0.1531,0.1531,0.1289,145.37M,-0.0809
2020-03-17,0.1473,0.1412,0.1518,0.14,79.82M,0.0462
2020-03-18,0.1475,0.147,0.1493,0.14,56.27M,0.0014
2020-03-19,0.1646,0.1478,0.1719,0.1446,108.10M,0.1159
2020-03-20,0.1568,0.165,0.1744,0.1463,228.72M,-0.0474
2020-03-21,0.1578,0.1572,0.1616,0.1518,90.96M,0.0064
